"id_buffer","categoria_bruta","pixels","percentagem","Categoria_Limpa","Cor"
1,"Formação Florestal",4416,55.9270516717325,"Formação Florestal","#1f8d49"
1,"Pastagem",3480,44.0729483282675,"Pastagem","#edde8e"
2,"Formação Florestal",2975,37.6534615871409,"Formação Florestal","#1f8d49"
2,"Pastagem",4911,62.1566890267055,"Pastagem","#edde8e"
2,"Outras Lavouras Temporárias",15,0.189849386153651,"Outras Lavouras Temporárias","#ffefc3"
3,"Formação Florestal",1148,14.5242914979757,"Formação Florestal","#1f8d49"
3,"Pastagem",6444,81.5283400809717,"Pastagem","#edde8e"
3,"Outras Lavouras Temporárias",312,3.94736842105263,"Outras Lavouras Temporárias","#ffefc3"
4,"Formação Florestal",4129,52.2592076952284,"Formação Florestal","#1f8d49"
4,"Pastagem",3772,47.7407923047715,"Pastagem","#edde8e"
5,"Formação Florestal",2764,34.9784864591243,"Formação Florestal","#1f8d49"
5,"Pastagem",4435,56.1250316375601,"Pastagem","#edde8e"
5,"Soja",20,0.253100480890914,"Soja","#f5b3c8"
5,"Outras Lavouras Temporárias",683,8.6433814224247,"Outras Lavouras Temporárias","#ffefc3"
6,"Formação Florestal",4706,59.5696202531646,"Formação Florestal","#1f8d49"
6,"Formação Campestre",54,0.683544303797468,"Formação Campestre","#d6bc74"
6,"Pastagem",3081,39,"Pastagem","#edde8e"
6,"Outras Áreas Não Vegetadas",36,0.455696202531646,"Outras Áreas Não Vegetadas","#db4d4f"
6,"Outras Lavouras Temporárias",23,0.291139240506329,"Outras Lavouras Temporárias","#ffefc3"
7,"Formação Florestal",7495,94.873417721519,"Formação Florestal","#1f8d49"
7,"Formação Campestre",115,1.45569620253165,"Formação Campestre","#d6bc74"
7,"Pastagem",290,3.67088607594937,"Pastagem","#edde8e"
8,"Formação Florestal",6679,84.5550069629067,"Formação Florestal","#1f8d49"
8,"Pastagem",1220,15.4449930370933,"Pastagem","#edde8e"
9,"Formação Florestal",7903,100,"Formação Florestal","#1f8d49"
10,"Formação Florestal",1985,25.1393110435664,"Formação Florestal","#1f8d49"
10,"Pastagem",5911,74.8606889564336,"Pastagem","#edde8e"
11,"Formação Florestal",5258,66.5738161559889,"Formação Florestal","#1f8d49"
11,"Pastagem",2640,33.4261838440111,"Pastagem","#edde8e"
12,"Formação Florestal",7198,91.1023921022655,"Formação Florestal","#1f8d49"
12,"Floresta Alagável",58,0.734084293127452,"Floresta Alagável","#04381d"
12,"Pastagem",645,8.16352360460701,"Pastagem","#edde8e"
13,"Formação Florestal",7049,89.1826923076923,"Formação Florestal","#1f8d49"
13,"Pastagem",855,10.8173076923077,"Pastagem","#edde8e"
14,"Formação Florestal",7895,100,"Formação Florestal","#1f8d49"
15,"Formação Florestal",643,8.13718046064287,"Formação Florestal","#1f8d49"
15,"Pastagem",7213,91.280688433308,"Pastagem","#edde8e"
15,"Outras Áreas Não Vegetadas",2,0.0253100480890914,"Outras Áreas Não Vegetadas","#db4d4f"
15,"Rio, Lago e Oceano",4,0.0506200961781827,"Rio, Lago e Oceano","#2532e4"
15,"Outras Lavouras Temporárias",40,0.506200961781827,"Outras Lavouras Temporárias","#ffefc3"
